# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s); 
# 
# STN,YYYYMMDD,  FHX
# 
  315,20181103,   60
  315,20181104,   70
  315,20181105,   40
  315,20181106,   70
  315,20181107,  110
  315,20181108,   90
  315,20181109,   90
  315,20181110,  110
  315,20181111,  110
  315,20181112,   70
  315,20181113,  110
  315,20181114,   60
  315,20181115,   60
  315,20181116,   40
  315,20181117,   70
  315,20181118,   80
  324,20180801,   60
  324,20180802,   60
  324,20180803,   60
  324,20180804,  100
  324,20180805,   70
  324,20180806,   60
  324,20180807,  100
  324,20180808,  100
  324,20180809,  140
  324,20180810,  110
  324,20180811,   80
  324,20180812,   70
  324,20180813,   80
  324,20180814,   90
  324,20180815,   70
  324,20180816,   80
  324,20180817,   60
  324,20180818,   60
  324,20180819,  100
  324,20180820,   50
  324,20180821,   50
  324,20180822,   60
  324,20180823,   90
  324,20180824,  100
  324,20180825,  110
  324,20180826,  100
  324,20180827,  110
  324,20180828,   40
  324,20180829,   80
  324,20180830,   60
  324,20180831,   40
  324,20180901,   50
  324,20180902,   70
  324,20180903,   70
  324,20180904,   60
  324,20180905,   70
  324,20180906,   70
  324,20180907,   90
  324,20180908,   70
  324,20180909,   60
  324,20180910,  100
  324,20180911,   90
  324,20180912,   80
  324,20180913,   40
  324,20180914,   90
  324,20180915,   70
  324,20180916,   60
  324,20180917,   40
  324,20180918,  100
  324,20180919,   80
  324,20180920,   80
  324,20180921,  150
  324,20180922,  120
  324,20180923,  100
  324,20180924,   90
  324,20180925,   30
  324,20180926,   50
  324,20180927,   60
  324,20180928,   90
  324,20180929,   30
  324,20180930,   70
  324,20181001,  110
  324,20181002,  100
  324,20181003,   70
  324,20181004,   50
  324,20181005,   40
  324,20181006,  120
  324,20181007,  110
  324,20181008,   60
  324,20181009,   40
  324,20181010,   70
  324,20181011,   80
  324,20181012,   80
  324,20181013,   60
  324,20181014,   70
  324,20181015,   60
  324,20181016,   40
  324,20181017,   50
  324,20181018,   70
  324,20181019,   70
  324,20181020,   30
  324,20181021,   30
  324,20181022,   80
  324,20181023,  120
  324,20181024,   90
  324,20181025,   80
  324,20181026,  120
  324,20181027,  100
  324,20181028,  110
  324,20181029,  100
  324,20181030,  170
  324,20181031,   70
  324,20181101,   90
  324,20181102,   90
  324,20181103,   50
  324,20181104,   40
  324,20181105,   40
  324,20181106,   60
  324,20181107,   90
  324,20181108,   70
  324,20181109,   70
  324,20181110,   90
  324,20181111,  100
  324,20181112,   60
  324,20181113,   90
  324,20181114,   50
  324,20181115,   40
  324,20181116,   40
  324,20181117,   80
  324,20181118,  110
  375,20180801,   30
  375,20180802,   40
  375,20180803,   40
  375,20180804,   50
  375,20180805,   40
  375,20180806,   40
  375,20180807,   60
  375,20180808,   80
  375,20180809,  120
  375,20180810,   80
  375,20180811,   60
  375,20180812,   50
  375,20180813,   60
  375,20180814,   50
  375,20180815,   60
  375,20180816,   70
  375,20180817,   30
  375,20180818,   60
  375,20180819,   60
  375,20180820,   40
  375,20180821,   30
  375,20180822,   40
  375,20180823,   60
  375,20180824,   70
  375,20180825,   70
  375,20180826,   70
  375,20180827,   80
  375,20180828,   40
  375,20180829,   40
  375,20180830,   40
  375,20180831,   30
  375,20180901,   30
  375,20180902,   50
  375,20180903,   30
  375,20180904,   20
  375,20180905,   40
  375,20180906,   40
  375,20180907,   60
  375,20180908,   60
  375,20180909,   60
  375,20180910,   50
  375,20180911,   90
  375,20180912,   50
  375,20180913,   30
  375,20180914,   40
  375,20180915,   50
  375,20180916,   50
  375,20180917,   40
  375,20180918,   80
